Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 129.0.0.0,,,06-10-2024 09:21:29,06-10-2024 09:22:05,36.492s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 129.0.0.0,,,06-10-2024 09:21:29,06-10-2024 09:21:46,17.234s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,06-10-2024 09:21:30,06-10-2024 09:21:34,3.841s,PASSED
"expected_Dahsboard_Title = ""Dashboard""",Chrome 129.0.0.0,,,06-10-2024 09:21:34,06-10-2024 09:21:34,0.014s,PASSED
navigateToUrl(appURL),Chrome 129.0.0.0,,,06-10-2024 09:21:34,06-10-2024 09:21:40,6.002s,PASSED
waitForPageLoad(10),Chrome 129.0.0.0,,,06-10-2024 09:21:40,06-10-2024 09:21:40,0.370s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,06-10-2024 09:21:40,06-10-2024 09:21:40,0.274s,PASSED
takeScreenshot(),Chrome 129.0.0.0,,,06-10-2024 09:21:40,06-10-2024 09:21:41,1.033s,PASSED
"setText(findTestObject(""Page_OrangeHRM/LoginPage/input_Username_username""), userName)",Chrome 129.0.0.0,,,06-10-2024 09:21:41,06-10-2024 09:21:43,1.052s,PASSED
"setText(findTestObject(""Page_OrangeHRM/LoginPage/input_Password_password""), password)",Chrome 129.0.0.0,,,06-10-2024 09:21:43,06-10-2024 09:21:43,0.803s,PASSED
"click(findTestObject(""Page_OrangeHRM/LoginPage/button_Login""))",Chrome 129.0.0.0,,,06-10-2024 09:21:43,06-10-2024 09:21:45,1.780s,PASSED
"actual_Dashboard_Title = getText(findTestObject(""Page_OrangeHRM/LoginPage/h6_Dashboard""))",Chrome 129.0.0.0,,,06-10-2024 09:21:45,06-10-2024 09:21:46,1.110s,PASSED
"verifyEqual(expected_Dahsboard_Title, actual_Dashboard_Title)",Chrome 129.0.0.0,,,06-10-2024 09:21:46,06-10-2024 09:21:46,0.167s,PASSED
,,,,,,,
Test Cases/TC_Validate_Side_Menu,Chrome 129.0.0.0,,,06-10-2024 09:21:46,06-10-2024 09:22:05,18.734s,PASSED
"callTestCase(findTestCase(""TC_Login""), [""appURL"":""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"", ""userName"":""Admin"", ""password"":""admin123""], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,06-10-2024 09:21:47,06-10-2024 09:22:00,13.007s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/a_Admin""), ""Admin"")",Chrome 129.0.0.0,,,06-10-2024 09:22:00,06-10-2024 09:22:01,1.094s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/a_PIM""), ""PIM"")",Chrome 129.0.0.0,,,06-10-2024 09:22:01,06-10-2024 09:22:02,0.347s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Buzz""), ""Buzz"")",Chrome 129.0.0.0,,,06-10-2024 09:22:02,06-10-2024 09:22:02,0.319s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Claim""), ""Claim"")",Chrome 129.0.0.0,,,06-10-2024 09:22:02,06-10-2024 09:22:02,0.286s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Dashboard""), ""Dashboard"")",Chrome 129.0.0.0,,,06-10-2024 09:22:02,06-10-2024 09:22:03,0.296s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Directory""), ""Directory"")",Chrome 129.0.0.0,,,06-10-2024 09:22:03,06-10-2024 09:22:03,0.298s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Leave""), ""Leave"")",Chrome 129.0.0.0,,,06-10-2024 09:22:03,06-10-2024 09:22:03,0.297s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Maintenance""), ""Maintenance"")",Chrome 129.0.0.0,,,06-10-2024 09:22:03,06-10-2024 09:22:03,0.275s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_My Info""), ""My Info"")",Chrome 129.0.0.0,,,06-10-2024 09:22:03,06-10-2024 09:22:04,0.289s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Performance""), ""Performance"")",Chrome 129.0.0.0,,,06-10-2024 09:22:04,06-10-2024 09:22:04,0.288s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Recruitment""), ""Recruitment"")",Chrome 129.0.0.0,,,06-10-2024 09:22:04,06-10-2024 09:22:04,0.282s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Time""), ""Time"")",Chrome 129.0.0.0,,,06-10-2024 09:22:04,06-10-2024 09:22:05,0.313s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,06-10-2024 09:22:05,06-10-2024 09:22:05,0.518s,PASSED
