Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 129.0.0.0,,,06-10-2024 09:22:33,06-10-2024 09:23:09,36.055s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 129.0.0.0,,,06-10-2024 09:22:33,06-10-2024 09:22:51,17.521s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,06-10-2024 09:22:34,06-10-2024 09:22:38,3.431s,PASSED
"expected_Dahsboard_Title = ""Dashboard""",Chrome 129.0.0.0,,,06-10-2024 09:22:38,06-10-2024 09:22:38,0.016s,PASSED
navigateToUrl(appURL),Chrome 129.0.0.0,,,06-10-2024 09:22:38,06-10-2024 09:22:42,4.745s,PASSED
waitForPageLoad(10),Chrome 129.0.0.0,,,06-10-2024 09:22:42,06-10-2024 09:22:43,0.903s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,06-10-2024 09:22:43,06-10-2024 09:22:44,0.337s,PASSED
takeScreenshot(),Chrome 129.0.0.0,,,06-10-2024 09:22:44,06-10-2024 09:22:45,1.083s,PASSED
"setText(findTestObject(""Page_OrangeHRM/LoginPage/input_Username_username""), userName)",Chrome 129.0.0.0,,,06-10-2024 09:22:45,06-10-2024 09:22:46,1.833s,PASSED
"setText(findTestObject(""Page_OrangeHRM/LoginPage/input_Password_password""), password)",Chrome 129.0.0.0,,,06-10-2024 09:22:46,06-10-2024 09:22:47,0.687s,PASSED
"click(findTestObject(""Page_OrangeHRM/LoginPage/button_Login""))",Chrome 129.0.0.0,,,06-10-2024 09:22:47,06-10-2024 09:22:49,1.538s,PASSED
"actual_Dashboard_Title = getText(findTestObject(""Page_OrangeHRM/LoginPage/h6_Dashboard""))",Chrome 129.0.0.0,,,06-10-2024 09:22:49,06-10-2024 09:22:51,2.074s,PASSED
"verifyEqual(expected_Dahsboard_Title, actual_Dashboard_Title)",Chrome 129.0.0.0,,,06-10-2024 09:22:51,06-10-2024 09:22:51,0.090s,PASSED
,,,,,,,
Test Cases/TC_Validate_Side_Menu,Chrome 129.0.0.0,,,06-10-2024 09:22:51,06-10-2024 09:23:09,17.928s,PASSED
"callTestCase(findTestCase(""TC_Login""), [""appURL"":""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"", ""userName"":""Admin"", ""password"":""admin123""], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,06-10-2024 09:22:51,06-10-2024 09:23:04,12.384s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/a_Admin""), ""Admin"")",Chrome 129.0.0.0,,,06-10-2024 09:23:04,06-10-2024 09:23:05,1.281s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/a_PIM""), ""PIM"")",Chrome 129.0.0.0,,,06-10-2024 09:23:05,06-10-2024 09:23:05,0.301s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Buzz""), ""Buzz"")",Chrome 129.0.0.0,,,06-10-2024 09:23:05,06-10-2024 09:23:06,0.295s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Claim""), ""Claim"")",Chrome 129.0.0.0,,,06-10-2024 09:23:06,06-10-2024 09:23:06,0.288s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Dashboard""), ""Dashboard"")",Chrome 129.0.0.0,,,06-10-2024 09:23:06,06-10-2024 09:23:06,0.279s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Directory""), ""Directory"")",Chrome 129.0.0.0,,,06-10-2024 09:23:06,06-10-2024 09:23:07,0.268s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Leave""), ""Leave"")",Chrome 129.0.0.0,,,06-10-2024 09:23:07,06-10-2024 09:23:07,0.280s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Maintenance""), ""Maintenance"")",Chrome 129.0.0.0,,,06-10-2024 09:23:07,06-10-2024 09:23:07,0.289s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_My Info""), ""My Info"")",Chrome 129.0.0.0,,,06-10-2024 09:23:07,06-10-2024 09:23:07,0.283s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Performance""), ""Performance"")",Chrome 129.0.0.0,,,06-10-2024 09:23:07,06-10-2024 09:23:08,0.286s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Recruitment""), ""Recruitment"")",Chrome 129.0.0.0,,,06-10-2024 09:23:08,06-10-2024 09:23:08,0.291s,PASSED
"verifyElementText(findTestObject(""Page_OrangeHRM/DashBoard/span_Time""), ""Time"")",Chrome 129.0.0.0,,,06-10-2024 09:23:08,06-10-2024 09:23:08,0.271s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,06-10-2024 09:23:08,06-10-2024 09:23:09,0.526s,PASSED
